episode_id,map_seed,target_seed,observation_seed,resolution,action_depth,decision,x,y,target_x,target_y,observation,next_observation,next_x,next_y,selected_action,state_ms,policy_ms,action_ms,total_ms,cumulative_inference_ms,state_vfe,target_belief_entropy,selected_policy,selected_policy_posterior,selected_policy_efe,false_find,collision,success
map0-target0-obs0-g2-T1,0,0,0,2,1,0,1,1,18,12,"[1, 1, 0, 0, 0]","[1, 2, 0, 0, 0]",1,2,UP,1.7144,1.2424,0.0734,3.0302,3.0302,0.4325585772405598,1.3386327153984912,2,0.26517767924818536,-15.493743728509827,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,1,1,2,18,12,"[1, 2, 0, 0, 0]","[2, 2, 0, 0, 0]",2,2,RIGHT,1.6053,0.8245,0.0583,2.4881,5.5183,0.2552500089266504,1.2148161246128233,4,0.2556884069579473,-15.594353280189301,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,2,2,2,18,12,"[2, 2, 0, 0, 0]","[2, 3, 0, 0, 0]",2,3,UP,1.6236,0.9571,0.0431,2.6237999999999997,8.1421,0.11323566757108396,1.1265263559404157,2,0.2505866998393286,-15.667595695652052,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,3,2,3,18,12,"[2, 3, 0, 0, 0]","[3, 3, 0, 0, 0]",3,3,RIGHT,1.6665,0.9752,0.0564,2.6981,10.8402,0.06805180026744358,1.1025062888271215,4,0.2500366970362671,-15.682942600073236,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,4,3,3,18,12,"[3, 3, 0, 0, 0]","[3, 4, 0, 0, 0]",3,4,UP,1.6218,1.472,0.0759,3.1696999999999997,14.009899999999998,0.061297252630337175,1.0989283671553878,2,0.2500006654703602,-15.684615117267041,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,5,3,4,18,12,"[3, 4, 0, 0, 0]","[4, 4, 0, 0, 0]",4,4,RIGHT,1.73,0.8473,0.0451,2.6224000000000003,16.632299999999997,0.06065463767731189,1.0985876027385395,4,0.24999965232655758,-15.684733684627952,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,6,4,4,18,12,"[4, 4, 0, 0, 0]","[4, 5, 0, 0, 0]",4,5,UP,1.599,0.8134,0.0417,2.4541,19.086399999999998,0.06061085883282135,1.0985613839534167,2,0.2499996166326426,-15.684740863323155,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,7,4,5,18,12,"[4, 5, 0, 0, 0]","[5, 5, 0, 0, 0]",5,5,RIGHT,1.611,0.8071,0.0405,2.4586,21.544999999999998,0.06060826956257214,1.0985596395282908,4,0.24999961601531986,-15.684741253008593,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,8,5,5,18,12,"[5, 5, 0, 0, 0]","[5, 6, 0, 0, 0]",5,6,UP,1.5966,0.8035,0.0414,2.4415,23.9865,0.06060812973024876,1.09855952989909,2,0.25033834627985774,-15.682935239364983,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,9,5,6,18,12,"[5, 6, 0, 0, 0]","[5, 7, 0, 0, 0]",5,7,UP,1.6001,0.8141,0.0403,2.4545000000000003,26.441,0.08222599394823472,1.0984525520360675,2,0.2523019764146078,-15.67249942980492,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,10,5,7,18,12,"[5, 7, 0, 0, 0]","[5, 8, 0, 0, 0]",5,8,UP,1.6419,1.0609,0.0724,2.7752,29.2162,0.13065701345329317,1.0973150652477905,2,0.25899189770504394,-15.629563261280039,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,11,5,8,18,12,"[5, 8, 0, 0, 0]","[5, 9, 0, 0, 0]",5,9,UP,1.7297,0.8273,0.0437,2.6007,31.8169,0.2524964557670568,1.0864613639805039,2,0.2729827381836121,-15.530433592416536,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,12,5,9,18,12,"[5, 9, 0, 0, 0]","[5, 10, 0, 0, 0]",5,10,UP,1.5861,0.8523,0.0407,2.4791000000000003,34.296,0.3949482956598086,1.0188152153247245,2,0.2759402528243963,-15.464012677920808,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,13,5,10,18,12,"[5, 10, 0, 0, 0]","[5, 11, 0, 0, 0]",5,11,UP,1.6014,0.8111,0.0399,2.4524,36.7484,0.30814780887184984,0.8490412565805718,2,0.25824070142543243,-15.568370848782932,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,14,5,11,18,12,"[5, 11, 0, 0, 0]","[5, 12, 0, 0, 0]",5,12,UP,1.5952,0.7937,0.0413,2.4302,39.178599999999996,0.12730015632805108,0.7254706468700859,2,0.25063218133190346,-15.665274976711487,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,15,5,12,18,12,"[5, 12, 0, 0, 0]","[5, 13, 0, 0, 0]",5,13,UP,1.5872,0.7952,0.0395,2.4219,41.6005,0.06844804577385175,0.6966033988443391,2,0.25001761896355507,-15.68322565855813,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,16,5,13,18,12,"[5, 13, 0, 0, 0]","[5, 14, 0, 0, 0]",5,14,UP,1.5935,1.3295,0.0524,2.9754,44.5759,0.06116366128371398,0.6933615702926683,2,0.24999995716614065,-15.68465331079551,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,17,5,14,18,12,"[5, 14, 0, 0, 0]","[5, 15, 0, 0, 0]",5,15,UP,1.8788,1.0063,0.0498,2.9349,47.510799999999996,0.060639682145601045,0.6931064569444935,2,0.24999962197728498,-15.684736613668814,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,18,5,15,18,12,"[5, 15, 0, 0, 0]","[6, 15, 0, 0, 0]",6,15,RIGHT,1.7386,0.8673,0.0443,2.6502,50.160999999999994,0.06060978486541978,0.6930892542535878,4,0.24999979727796248,-15.684740068253875,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,19,6,15,18,12,"[6, 15, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,RIGHT,1.7399,0.8772,0.045,2.6620999999999997,52.8231,0.06121380096819069,0.6930903278402334,4,0.2500015511329479,-15.684730941386926,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,20,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.7323,0.87,0.0429,2.6452,55.4683,0.06260721558415736,0.6930970819044029,2,0.3333328532021221,-15.684732320409285,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,21,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,1.7986,0.8765,0.044,2.7191,58.1874,0.06246687171680416,0.6931030326483247,2,0.3333336094026377,-15.68473095339742,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,22,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,2.0389,0.9371,0.0566,3.0326,61.22,0.06260469102124039,0.6931090132315922,2,0.33333285323597284,-15.684732320796861,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,23,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,1.7337,0.8867,0.0465,2.6669,63.8869,0.0624645269036098,0.6931141869458459,2,0.33333360946235796,-15.684730953075386,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,24,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.7232,0.875,0.043,2.6412000000000004,66.5281,0.062602170960814,0.6931193279297616,1,0.33333285326550677,-15.684732320506004,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,25,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 1, 0, 0]",7,15,UP,1.7413,0.8814,0.0437,2.6664,69.19449999999999,0.06246218230423702,0.6931237202275173,2,0.3333336095167756,-15.684730952744514,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,26,7,15,18,12,"[7, 15, 1, 0, 0]","[7, 14, 1, 0, 0]",7,14,DOWN,1.7404,0.8681,0.0447,2.6532,71.84769999999999,11.639069307356468,0.6924198973487037,2,0.3333328517564298,-15.684732335639403,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,27,7,14,18,12,"[7, 14, 1, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,2.1598,0.9367,0.0519,3.1484,74.99609999999998,11.643045845074777,0.6908850117309373,2,0.3333336010815341,-15.684731005256854,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,28,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.7954,0.8679,0.0463,2.7096,77.70569999999998,0.06271916717657734,0.6909290191573424,2,0.3333328488695426,-15.684732364717902,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,29,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,1.6761,0.8554,0.0428,2.5743,80.27999999999997,0.0625710371191302,0.6909695767782209,2,0.3333336013814675,-15.684731003382895,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,30,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.6654,0.8503,0.0473,2.5629999999999997,82.84299999999998,0.06271665795843293,0.6910127551898393,1,0.33333284902867005,-15.684732363113845,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,31,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,1.6657,0.8413,0.0413,2.5483000000000002,85.39129999999997,0.06256870242603157,0.6910525413173274,2,0.33333360167618437,-15.684731001540714,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,32,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.639,0.915,0.0761,2.6301,88.02139999999997,0.06271414832254014,0.6910948902880834,1,0.333332849184983,-15.684732361538202,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,33,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,2.3377,0.9865,0.0595,3.3836999999999997,91.40509999999998,0.06256636734758671,0.6911339045365485,2,0.3333336019656825,-15.684730999731356,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,34,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.5909,0.8117,0.0499,2.4525,93.85759999999998,0.06271163827655499,0.6911754236564471,1,0.3333328493384787,-15.684732359991056,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,35,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,1.603,0.7968,0.04,2.4398,96.29739999999998,0.06256403189125413,0.6912136656481707,2,0.33333360224995634,-15.684730997954853,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,36,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.8336,0.9433,0.0475,2.8244,99.12179999999998,0.06270912782851966,0.6912543545152023,2,0.33333284948915587,-15.684732358472424,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,37,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,1.7523,1.098,0.1675,3.0178,102.13959999999997,0.06256169606451877,0.6912918238798696,2,0.33333360252900296,-15.684730996211226,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,38,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.7186,1.1478,0.0718,2.9381999999999997,105.07779999999997,0.06270661698648126,0.6913316820999873,1,0.333332849637011,-15.68473235698233,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,39,7,14,18,12,"[7, 14, 0, 0, 0]","[7, 15, 0, 0, 0]",7,15,UP,1.9484,0.9711,0.0534,2.9728999999999997,108.05069999999996,0.0625593598748699,0.6913683784746951,2,0.3333336028028186,-15.684730994500496,False,False,False
map0-target0-obs0-g2-T1,0,0,0,2,1,40,7,15,18,12,"[7, 15, 0, 0, 0]","[7, 14, 0, 0, 0]",7,14,DOWN,1.7458,0.8672,0.0484,2.6614,110.71209999999996,0.0627041057584922,0.6914074056618222,1,0.33333284978204336,-15.68473235552079,False,False,False
