episode_id,map_seed,target_seed,observation_seed,resolution,action_depth,num_policies,target_x,target_y,success,steps,task_cost,false_finds,collisions,cumulative_inference_ms,final_x,final_y,final_target_distance
map0-target0-obs0-g2-T1,0,0,0,2,1,5,18,12,False,50,150.0,0,0,135.41969999999998,7,15,11.40175425099138
map0-target0-obs0-g2-T2,0,0,0,2,2,25,18,12,False,50,150.0,0,0,301.2303,7,15,11.40175425099138
map0-target0-obs0-g2-T3,0,0,0,2,3,125,18,12,False,50,150.0,0,0,2499.7116,7,15,11.40175425099138
map0-target0-obs0-g5-T1,0,0,0,5,1,5,18,12,False,50,150.5,0,1,335.10429999999997,11,4,10.63014581273465
map0-target0-obs0-g5-T2,0,0,0,5,2,25,18,12,True,40,45.0,1,0,420.5938000000001,13,11,5.0990195135927845
map0-target0-obs0-g5-T3,0,0,0,5,3,125,18,12,True,39,44.0,1,0,14767.656400000003,13,12,5.0
map0-target0-obs0-g10-T1,0,0,0,10,1,5,18,12,True,43,53.0,2,0,1361.9120000000005,12,12,6.0
map0-target0-obs0-g10-T2,0,0,0,10,2,25,18,12,True,38,43.0,1,0,1354.6388000000002,15,17,5.830951894845301
map0-target0-obs0-g10-T3,0,0,0,10,3,125,18,12,True,38,43.0,1,0,16932.269699999997,15,17,5.830951894845301
map0-target0-obs0-g20-T1,0,0,0,20,1,5,18,12,True,43,48.0,1,0,6872.002400000001,13,12,5.0
map0-target0-obs0-g20-T2,0,0,0,20,2,25,18,12,True,44,49.0,1,0,8751.8187,13,11,5.0990195135927845
map0-target0-obs0-g20-T3,0,0,0,20,3,125,18,12,True,44,49.0,1,0,10333.952399999996,13,11,5.0990195135927845
map0-target1-obs0-g2-T1,0,1,0,2,1,5,15,3,False,50,150.0,0,0,143.47489999999996,7,15,14.422205101855956
map0-target1-obs0-g2-T2,0,1,0,2,2,25,15,3,False,50,150.0,0,0,302.53190000000006,7,15,14.422205101855956
map0-target1-obs0-g2-T3,0,1,0,2,3,125,15,3,False,50,150.0,0,0,2564.0588,7,15,14.422205101855956
map0-target1-obs0-g5-T1,0,1,0,5,1,5,15,3,False,50,150.0,0,0,342.68789999999996,6,16,15.811388300841896
map0-target1-obs0-g5-T2,0,1,0,5,2,25,15,3,False,50,150.0,0,0,506.2331,12,0,4.242640687119285
map0-target1-obs0-g5-T3,0,1,0,5,3,125,15,3,False,50,150.0,0,0,19320.8159,12,0,4.242640687119285
