episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,decision,x,y,target_x,target_y,observation,next_observation,next_x,next_y,selected_action,state_ms,policy_ms,action_ms,total_ms,cumulative_inference_ms,state_vfe,target_belief_entropy,selected_policy,selected_policy_posterior,selected_policy_efe,false_find,collision,success
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,0,4,11,16,1,"[4, 11, 0, 0, 0]","[4, 12, 0, 0, 0]",4,12,UP,1.6965,1.2085,0.0695,2.9745,2.9745,0.6584010683803717,1.3007363017982139,2,0.2576029191869418,-15.504134193029193,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,1,4,12,16,1,"[4, 12, 0, 0, 0]","[4, 11, 0, 0, 0]",4,11,DOWN,1.6287,0.8254,0.0509,2.505,5.4795,0.2554333373926822,1.1493035963899148,1,0.25430854777183465,-15.6202924930155,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,2,4,11,16,1,"[4, 11, 0, 0, 0]","[4, 10, 0, 0, 0]",4,10,DOWN,1.6068,0.8059,0.04,2.4527,7.9322,0.23741002674220688,1.0983273884766667,1,0.26890224964317233,-15.549126147562177,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,3,4,10,16,1,"[4, 10, 0, 0, 0]","[4, 9, 1, 0, 0]",4,9,DOWN,1.6248,1.0473,0.081,2.7531,10.6853,0.346071213386116,1.022531412207546,1,0.2734812278336984,-15.486226571637323,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,4,4,9,16,1,"[4, 9, 1, 0, 0]","[4, 9, 0, 2, 0]",4,9,FIND,1.6803,0.8203,0.0436,2.5442,13.2295,3.7908321330182098,0.5321474080090444,0,0.9931930921596357,-9.17808514514227,True,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,5,4,9,16,1,"[4, 9, 0, 2, 0]","[4, 10, 0, 0, 0]",4,10,UP,1.65,0.8,0.0406,2.4906,15.7201,2.0083200494330766,0.7957707794198883,2,0.25390418043952984,-15.658727236832313,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,6,4,10,16,1,"[4, 10, 0, 0, 0]","[4, 11, 0, 0, 0]",4,11,UP,1.6129,0.8066,0.0399,2.4594,18.1795,0.0895031318886796,0.7592578128390242,2,0.2536198002589182,-15.654642161326198,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,7,4,11,16,1,"[4, 11, 0, 0, 0]","[4, 12, 0, 0, 0]",4,12,UP,1.6166,0.7819,0.04,2.4385000000000003,20.618000000000002,0.08166574378430111,0.7176708522160955,2,0.2509580906833347,-15.672293438171165,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,8,4,12,16,1,"[4, 12, 0, 0, 0]","[4, 13, 0, 0, 0]",4,13,UP,1.6111,0.7882,0.0399,2.4392,23.0572,0.06663230940931095,0.6976542246472341,2,0.2500733877881832,-15.682783627298965,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,9,4,13,16,1,"[4, 13, 0, 0, 0]","[4, 14, 0, 0, 0]",4,14,UP,1.6004,0.9568,0.0422,2.5993999999999997,25.6566,0.061389398142827026,0.6935732509045835,2,0.2500020593410532,-15.684578350635274,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,10,4,14,16,1,"[4, 14, 0, 0, 0]","[4, 15, 0, 0, 0]",4,15,UP,1.681,0.7967,0.0407,2.5184,28.175,0.06066869555675775,0.6931261229479856,2,0.24999966880804814,-15.684731149160251,False,False,False
