episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,num_policies,target_x,target_y,success,steps,task_cost,false_finds,collisions,cumulative_inference_ms,final_x,final_y,final_target_distance
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,5,16,1,False,50,165.5,1,21,126.36149999999999,5,0,11.045361017187261
map1826701614-target1097657231-obs579362555-g2-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,2,25,16,1,False,50,154.0,0,8,294.96080000000006,5,0,11.045361017187261
map1826701614-target1097657231-obs579362555-g2-T3,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,3,125,16,1,False,50,150.0,0,0,2417.4547,13,4,4.242640687119285
map1826701614-target1097657231-obs579362555-g5-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,5,1,5,16,1,False,50,165.0,3,0,329.51849999999996,5,19,21.095023109728988
map1826701614-target1097657231-obs579362555-g5-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,5,2,25,16,1,True,48,63.0,3,0,643.198,16,3,2.0
map1826701614-target1097657231-obs579362555-g5-T3,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,5,3,125,16,1,True,48,63.0,3,0,17377.8617,16,3,2.0
map1826701614-target1097657231-obs579362555-g10-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,10,1,5,16,1,False,50,160.0,2,0,1931.2915999999993,15,8,7.0710678118654755
map1826701614-target1097657231-obs579362555-g10-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,10,2,25,16,1,False,50,150.0,0,0,3412.348500000001,1,10,17.4928556845359
map1826701614-target1097657231-obs579362555-g10-T3,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,10,3,125,16,1,False,50,155.0,1,0,45684.977999999996,1,9,17.0
map1826701614-target1097657231-obs579362555-g20-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,20,1,5,16,1,False,50,155.0,1,0,13342.141200000002,16,4,3.0
map1826701614-target1097657231-obs579362555-g20-T2,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,20,2,25,16,1,False,50,155.0,1,0,19068.94739999999,16,4,3.0
map1826701614-target1097657231-obs579362555-g20-T3,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,20,3,125,16,1,False,50,155.0,1,0,28848.7141,16,4,3.0
map1016164991-target1621709874-obs2041105244-g2-T1,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,2,1,5,10,8,False,50,150.0,0,0,360.7334,5,2,7.810249675906654
map1016164991-target1621709874-obs2041105244-g2-T2,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,2,2,25,10,8,False,50,150.0,0,0,713.188,5,2,7.810249675906654
map1016164991-target1621709874-obs2041105244-g2-T3,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,2,3,125,10,8,False,50,150.0,0,0,5007.050700000001,5,2,7.810249675906654
map1016164991-target1621709874-obs2041105244-g5-T1,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,5,1,5,10,8,True,15,15.0,0,0,226.77150000000003,7,6,3.605551275463989
map1016164991-target1621709874-obs2041105244-g5-T2,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,5,2,25,10,8,True,15,15.0,0,0,318.84520000000003,7,6,3.605551275463989
map1016164991-target1621709874-obs2041105244-g5-T3,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,5,3,125,10,8,True,11,11.0,0,0,7535.9285,7,6,3.605551275463989
map1016164991-target1621709874-obs2041105244-g10-T1,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,10,1,5,10,8,True,15,15.0,0,0,932.4839000000001,7,6,3.605551275463989
map1016164991-target1621709874-obs2041105244-g10-T2,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,10,2,25,10,8,True,12,12.0,0,0,871.8314999999999,6,6,4.47213595499958
map1016164991-target1621709874-obs2041105244-g10-T3,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,10,3,125,10,8,True,11,11.0,0,0,10180.237599999999,7,6,3.605551275463989
map1016164991-target1621709874-obs2041105244-g20-T1,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,20,1,5,10,8,True,15,15.0,0,0,4037.1976000000004,7,6,3.605551275463989
map1016164991-target1621709874-obs2041105244-g20-T2,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,20,2,25,10,8,True,23,23.0,0,0,8678.891099999999,8,5,3.605551275463989
map1016164991-target1621709874-obs2041105244-g20-T3,1,1016164991,1621709874,2041105244,1099128568,1,10,5.0,20,3,125,10,8,True,15,15.0,0,0,8737.8341,7,6,3.605551275463989
map1798679647-target234731697-obs641004849-g2-T1,2,1798679647,234731697,641004849,561807779,3,5,6.0,2,1,5,17,15,False,50,150.0,0,0,322.1544,6,14,11.045361017187261
map1798679647-target234731697-obs641004849-g2-T2,2,1798679647,234731697,641004849,561807779,3,5,6.0,2,2,25,17,15,False,50,150.0,0,0,705.2501999999998,6,14,11.045361017187261
map1798679647-target234731697-obs641004849-g2-T3,2,1798679647,234731697,641004849,561807779,3,5,6.0,2,3,125,17,15,False,50,150.0,0,0,5190.7426,6,14,11.045361017187261
map1798679647-target234731697-obs641004849-g5-T1,2,1798679647,234731697,641004849,561807779,3,5,6.0,5,1,5,17,15,True,20,20.0,0,0,335.5083,13,12,5.0
map1798679647-target234731697-obs641004849-g5-T2,2,1798679647,234731697,641004849,561807779,3,5,6.0,5,2,25,17,15,True,20,20.0,0,0,441.4467,13,12,5.0
map1798679647-target234731697-obs641004849-g5-T3,2,1798679647,234731697,641004849,561807779,3,5,6.0,5,3,125,17,15,True,20,20.0,0,0,13536.858900000001,13,12,5.0
map1798679647-target234731697-obs641004849-g10-T1,2,1798679647,234731697,641004849,561807779,3,5,6.0,10,1,5,17,15,True,47,47.0,0,0,2920.8047,15,11,4.47213595499958
map1798679647-target234731697-obs641004849-g10-T2,2,1798679647,234731697,641004849,561807779,3,5,6.0,10,2,25,17,15,True,42,42.0,0,0,3061.4164,14,11,5.0
map1798679647-target234731697-obs641004849-g10-T3,2,1798679647,234731697,641004849,561807779,3,5,6.0,10,3,125,17,15,True,33,33.0,0,0,29723.132399999995,14,12,4.242640687119285
map1798679647-target234731697-obs641004849-g20-T1,2,1798679647,234731697,641004849,561807779,3,5,6.0,20,1,5,17,15,True,42,42.0,0,0,11257.080999999998,14,11,5.0
map1798679647-target234731697-obs641004849-g20-T2,2,1798679647,234731697,641004849,561807779,3,5,6.0,20,2,25,17,15,True,33,33.0,0,0,12706.915200000001,13,11,5.656854249492381
map1798679647-target234731697-obs641004849-g20-T3,2,1798679647,234731697,641004849,561807779,3,5,6.0,20,3,125,17,15,True,33,33.0,0,0,19316.316700000007,14,12,4.242640687119285
map1742692731-target385346042-obs508546690-g2-T1,3,1742692731,385346042,508546690,183930185,6,19,5.0,2,1,5,13,13,False,50,155.0,1,0,302.8388,7,15,6.324555320336759
map1742692731-target385346042-obs508546690-g2-T2,3,1742692731,385346042,508546690,183930185,6,19,5.0,2,2,25,13,13,False,50,155.0,1,0,703.4791,13,5,8.0
