instance_seed,map_seed,start_seed,target_seed,observation_seed,start_x,start_y,target_x,target_y,sensor_range,blocked_cells
0,1826701614,1367864806,1097657231,579362555,4,11,16,1,5.0,32
1,1016164991,1099128568,1621709874,2041105244,1,10,10,8,5.0,32
2,1798679647,561807779,234731697,641004849,3,5,17,15,6.0,32
3,1742692731,183930185,385346042,508546690,6,19,13,13,5.0,32
4,1560023974,2025197564,1892783321,1098067557,2,2,18,8,7.0,32
5,1440510675,1728730614,48647418,1735039633,2,10,10,12,6.0,32
6,955728254,1155699143,1111885934,737168579,2,18,10,14,7.0,32
7,2029167940,1342382291,1469265225,1926751965,9,10,11,3,6.0,32
8,1545220601,702167616,503597500,2120160876,8,13,10,14,5.0,32
9,905266064,1868845934,2063827471,615935265,1,5,18,11,5.0,32
10,1667601611,2052998037,566977183,445993290,7,8,19,12,7.0,32
11,287335974,276102407,1711717682,1072191044,5,13,11,10,6.0,32
12,1315760027,538641421,2089470803,2033136462,0,14,15,13,5.0,32
13,1924045405,1857138675,1760389630,1836748163,9,0,18,1,5.0,32
14,322709278,1784523088,1403036831,775127064,8,6,10,9,5.0,32
15,1999787903,1487655053,1515174459,1751953905,3,10,14,0,5.0,32
16,1156579488,1217444640,1769125686,925016008,7,19,15,14,7.0,32
17,1591207480,1814784297,230512677,345687080,6,0,17,17,6.0,32
18,1918988776,857502609,457879743,1540636291,7,16,13,6,7.0,32
19,1264954010,902756589,765985137,1988289277,4,8,11,16,6.0,32
20,1916097724,601458549,561866062,990305018,2,1,10,2,7.0,32
21,647279672,1677437248,829042257,1301046588,1,5,13,9,6.0,32
22,1656235196,786724009,1417112031,427983567,5,17,19,4,7.0,32
23,77115417,1490209942,906978376,1377521039,0,4,12,0,5.0,32
24,821789027,709246925,1613172790,870111659,0,12,10,18,7.0,32
25,1082894377,345146219,1835374301,670089,4,7,18,0,5.0,32
26,1851267297,1055700636,1190287358,503369144,4,8,16,13,6.0,32
27,5517670,1498377114,458241086,673911017,1,4,15,3,7.0,32
28,1430922683,1829299447,474504264,1900293148,0,11,16,16,7.0,32
29,2007055255,107475049,1288324120,1087318855,1,15,16,11,5.0,32
